metal,e_mpsi,e_gpa,g_mpsi,g_gpa,nu,w,rho,alpha_microf,alpha_microc,thermal_conductivity_btu_per_hftf,thermal_conductivity_watt_per_mc,specific_heat_but_per_lbmf,specific_heat_joule_per_kgc
Aluminum,10.4,72,3.9,27,0.32,0.1,2.8,12,22,100,173,0.22,920
Beryl Copper,18.5,127,7.2,50,0.29,0.3,8.3,9.3,17,85,147,0.1,420
Brass Bronze,16,110,6,41,0.33,0.31,8.7,10.5,19,45,78,0.1,420
Copper,17.5,121,6.6,46,0.33,0.32,8.9,9.4,17,220,381,0.1,420
Gray Cast Iron,15,103,6,41,0.26,0.26,7.2,6.4,12,29,50,0.13,540
Magnesium,6.5,45,2.4,17,0.35,0.065,1.8,14.5,26,55,95,0.28,1170
Nickel,30,207,11.5,79,0.3,0.3,8.3,7,13,12,21,0.12,500
Carbon Steel,30,207,11.5,79,0.3,0.28,7.7,6.7,12,27,47,0.11,460
Steel Alloy,30,207,11.5,79,0.3,0.28,7.7,6.3,11,22,38,0.11,460
Stainless Steel,27.5,190,10.6,73,0.3,0.28,7.7,8,14,12,21,0.11,460
Titanium,16.5,114,6.2,43,0.33,0.16,4.4,4.9,9,7,12,0.12,500
Zinc,12,83,4.5,31,0.33,0.24,6.6,15,27,64,111,0.11,460
