base_resin,reinforcement,tensile_strength_ksi,flexural_modulus_mpsi,izod_impact_notched,izod_impact_unnotched,specific_gravity,mold_shrinkage_pct,water_absorption_24h,thermal_exp_e-5F,deflection_temp_f_264psi
ABS,glass reinforced,14.5,1,1.4,6.5,1.28,0.1,0.14,1.6,220
ABS,unreinforced,6,0.32,4.4,,1.05,0.6,0.3,5.3,195
Acetal,glass reinforced,19.5,1.4,1.8,9,1.63,0.3,0.3,2.2,325
Acetal,unreinforced,8.8,0.4,1.3,20,1.42,2,0.22,4.5,230
PTFE,glass reinforced,14,1.1,7.5,17.5,1.89,0.3,0.2,1.6,460
PTFE,unreinforced,6.5,0.2,40,,1.7,1.8,0.02,4,160
Nylon 6/12,glass reinforced,22,1.2,2.4,20,1.3,0.4,0.21,1.5,415
Nylon 6/12,unreinforced,8.8,0.295,1,,1.06,1.1,0.25,5,194
Polycarbonate,glass reinforced,18.5,1.2,3.7,17,1.43,0.1,0.07,1.3,300
Polycarbonate,unreinforced,9,0.33,2.7,60,1.2,0.6,0.15,3.7,265
Polyester,glass reinforced,19.5,1.4,2.5,17,1.52,0.3,0.06,1.2,430
Polyester,unreinforced,8.5,0.34,1.2,,1.31,2,0.08,5.3,130
Polyethylene,glass reinforced,10,0.9,1.1,8.5,1.17,0.3,0.02,2.7,260
Polyethylene,unreinforced,2.6,0.2,0.4,,0.95,2,0.02,6,120
Polypropylene,glass reinforced,9.7,0.55,3,11.5,1.12,0.4,0.03,2,295
Polypropylene,unreinforced,4.9,0.18,0.4,,0.91,1.8,0.01,4,135
Polystyrene,glass reinforced,13.5,1.3,1,2.5,1.28,0.1,0.05,1.9,215
Polystyrene,unreinforced,7,0.45,0.45,,2.5,0.4,0.1,3.6,180
