designation,area_sq_in,depth_in,flange_width_in,thick_in,web_thick_in,axis_xx_ix_in4,axis_xx_sx_in3,axis_xx_rx_in,axis_yy_in4,axis_yy_sy_in3,axis_yy_ry_in
W36x300,88.3,36.74,16.655,1.68,0.945,20300,1110,15.2,1300,156,3.83
W36x135,39.7,35.55,11.95,0.79,0.6,7800,439,14,225,37.7,2.38
W33x201,59.1,33.68,15.745,1.15,0.715,11500,684,14,749,95.2,3.56
W33x118,34.7,32.86,11.48,0.74,0.55,5900,359,13,187,32.6,2.32
W30x173,50.8,30.44,14.985,1.065,0.655,8200,539,12.7,598,79.8,3.43
W30x99,29.1,29.65,10.45,0.67,0.52,3990,269,11.7,128,24.5,2.1
W27x146,42.9,27.38,13.965,0.975,0.605,5630,411,11.4,443,63.5,3.21
W27x84,24.8,26.71,9.96,0.64,0.46,2850,213,10.7,106,21.2,2.07
W24x104,30.6,24.06,12.75,0.75,0.5,3100,258,10.1,259,40.7,2.91
W24x68,20.1,23.73,8.965,0.585,0.415,1830,154,9.55,70.4,15.7,1.87
W21x101,29.8,21.36,12.29,0.8,0.5,2420,227,9.02,248,40.3,2.89
W21x62,18.3,20.99,8.24,0.615,0.4,1330,127,8.54,57.5,13.9,1.77
W21x44,13,20.66,6.5,0.45,0.35,843,81.6,8.06,20.7,6.36,1.26
W18x106,31.1,18.73,11.2,0.94,0.59,1910,204,7.84,220,39.4,2.66
W18x76,22.3,18.21,11.035,0.68,0.425,1330,146,7.73,152,27.6,2.61
W18x50,14.7,17.99,7.495,0.57,0.355,800,88.9,7.38,40.1,10.7,1.65
W18x35,10.3,17.7,6,0.425,0.3,510,57.6,7.04,15.3,5.12,1.22
W16x77,22.6,16.52,10.295,0.76,0.455,1110,134,7,138,26.9,2.47
W16x57,16.8,16.43,7.12,0.715,0.43,758,92.2,6.72,43.1,12.1,1.6
W16x40,11.8,16.01,6.995,0.505,0.305,518,64.7,6.63,28.9,8.25,1.57
W16x31,9.12,15.88,5.525,0.44,0.275,375,47.2,6.41,12.4,4.49,1.17
W16x26,7.68,15.69,5.5,0.345,0.25,301,38.4,6.26,9.59,3.49,1.12
W14x370,109,17.92,16.475,2.66,1.655,5440,607,7.07,1990,241,4.27
W14x145,42.7,14.78,15.5,1.09,0.68,1710,232,6.33,677,87.3,3.98
W14x83,24.1,14.31,10.13,0.855,0.51,882,123,6.05,148,29.3,2.48
W14x68,20,14.04,10.035,0.72,0.415,723,103,6.01,121,24.2,2.46
W14x53,15.6,13.92,8.06,0.66,0.37,541,77.8,5.89,57.7,14.3,1.92
W14x43,12.6,13.66,7.995,0.53,0.305,428,62.7,5.82,45.2,11.3,1.89
W14x38,11.2,14.1,6.77,0.515,0.31,385,54.6,8.87,26.7,7.88,1.55
W14x30,8.85,13.84,6.73,0.385,0.27,291,42,5.73,19.6,5.82,1.49
W14x26,7.69,13.91,5.025,0.42,0.255,245,35.3,5.65,8.91,3.54,1.08
W14x22,6.49,13.74,5,0.335,0.23,199,29,5.54,7,2.8,1.04
W12x96,,,,,,,,,,,
W12x72,,,,,,,,,,,
W12x50,,,,,,,,,,,
W12x40,,,,,,,,,,,
W12x35,,,,,,,,,,,
W12x30,,,,,,,,,,,
W12x26,,,,,,,,,,,
W12x22,,,,,,,,,,,
W12x16,,,,,,,,,,,
W10x112,,,,,,,,,,,
W10x68,,,,,,,,,,,
W10x54,,,,,,,,,,,
W10x45,,,,,,,,,,,
W10x39,,,,,,,,,,,
W10x33,,,,,,,,,,,
W10x30,,,,,,,,,,,
W10x22,,,,,,,,,,,
W10x19,,,,,,,,,,,
W10x15,,,,,,,,,,,
W8x58,,,,,,,,,,,
W8x48,,,,,,,,,,,
W8x40,,,,,,,,,,,
W8x35,,,,,,,,,,,
W8x31,,,,,,,,,,,
W8x28,,,,,,,,,,,
W8x24,,,,,,,,,,,
W8x21,,,,,,,,,,,
W8x18,,,,,,,,,,,
W8x15,,,,,,,,,,,
W8x13,,,,,,,,,,,
W6x25,,,,,,,,,,,
W6x20,,,,,,,,,,,
W6x16,,,,,,,,,,,
W6x12,,,,,,,,,,,
W6x9,,,,,,,,,,,
W5x19,,,,,,,,,,,
W5x16,,,,,,,,,,,
W4x13,,,,,,,,,,,
