spec,h_b,uts_ksi,uts_mpa,yts_ksi,yts_mpa,elongation,corrosion_resistance,cold_work,machine,braze,gas_weld,arc_weld,resistance_weld
1100-0,23,13,90,5,34,45,A,A,E,A,A,A,B
1100-H14,32,18,125,17,115,20,A,A,D,A,A,A,A
1100-H18,44,24,165,22,150,15,A,B,D,A,A,A,A
2011-T3,95,55,380,43,295,15,D,C,A,D,D,D,D
2011-T8,100,59,405,45,310,15,D,D,A,D,D,D,D
2014-0,45,27,185,14,97,18,,,D,D,D,D,B
2014-T4,105,62,425,42,290,20,D,C,B,D,D,B,B
2014-T6,135,70,485,60,415,13,D,D,B,D,D,B,B
2024-0,47,27,185,11,76,22,,,D,D,D,D,D
2024-T4,120,68,470,47,325,19,D,C,B,D,C,B,B
6061-0,30,18,125,8,55,30,B,A,D,A,A,A,B
6061-T6,95,45,310,40,275,17,B,C,C,A,A,A,A
6063-0,25,13,90,7,48,,A,A,,A,A,A,A
6063-T6,73,35,240,31,215,12,A,C,C,A,A,A,A
7075-0,60,38,230,15,105,16,,,D,D,D,C,B
7075-T6,150,83,570,73,505,11,C,D,B,D,D,C,B
